,subj,TaskType,SentStruct,Lang_ACC,whichfirst,SStype,QLang1_firstsubj,QLang2_firstsubj,QLang
4333,122,Dual,ORC,1,LangFirst,high,yes,no,QLang2
4334,122,Dual,ORC,1,LangFirst,high,no,yes,QLang2
4336,122,Dual,ORC,1,MusicFirst,high,no,yes,QLang1
4337,122,Dual,ORC,1,LangFirst,high,no,yes,QLang1
4338,122,Dual,ORC,0,LangFirst,high,yes,no,QLang1
4339,122,Dual,SE,1,MusicFirst,low,yes,no,QLang2
4340,122,Dual,SE,1,MusicFirst,low,yes,no,QLang2
4341,122,Dual,SE,1,MusicFirst,low,no,yes,QLang1
4342,122,Dual,SE,1,LangFirst,low,yes,no,QLang1
4343,122,Dual,SE,1,MusicFirst,low,no,no,QLang1
4344,122,Dual,SE,1,LangFirst,low,yes,no,QLang1
4345,122,Dual,SE,1,MusicFirst,low,yes,no,QLang1
4347,122,Dual,SE,1,MusicFirst,low,yes,no,QLang2
4348,122,Dual,SE,0,MusicFirst,low,no,yes,QLang1
4349,122,Dual,SE,1,LangFirst,low,no,yes,QLang1
4350,122,Dual,SE,1,MusicFirst,low,no,yes,QLang2
4351,122,Dual,SE,1,MusicFirst,low,no,yes,QLang1
4353,122,Dual,SE,0,LangFirst,low,no,yes,QLang1
4354,122,Dual,SE,1,LangFirst,low,no,yes,QLang2
4355,122,Dual,SE,1,MusicFirst,low,no,yes,QLang2
4356,122,Dual,SE,1,MusicFirst,low,yes,no,QLang1
4357,122,Dual,SRC1,1,MusicFirst,low,no,yes,QLang1
4358,122,Dual,SRC1,1,LangFirst,low,no,yes,QLang1
4359,122,Dual,SRC1,1,LangFirst,low,no,yes,QLang1
4360,122,Dual,SRC1,1,MusicFirst,low,yes,no,QLang1
4361,122,Dual,SRC1,1,LangFirst,low,no,yes,QLang1
4362,122,Dual,SRC1,1,MusicFirst,low,no,yes,QLang2
4363,122,Dual,SRC1,1,MusicFirst,low,yes,no,QLang2
4364,122,Dual,SRC1,1,LangFirst,low,no,yes,QLang2
4365,122,Dual,SRC1,1,MusicFirst,low,yes,no,QLang2
4366,122,Dual,SRC1,1,MusicFirst,low,no,yes,QLang2
4367,122,Dual,SRC1,1,LangFirst,low,yes,no,QLang1
4368,122,Dual,SRC1,1,LangFirst,low,yes,no,QLang1
4369,122,Dual,SRC1,1,LangFirst,low,yes,no,QLang1
4370,122,Dual,SRC1,0,MusicFirst,low,no,yes,QLang2
4371,122,Dual,SRC1,1,MusicFirst,low,yes,no,QLang1
4372,122,Dual,SRC1,0,LangFirst,low,yes,no,QLang2
4373,122,Dual,SRC1,1,MusicFirst,low,no,yes,QLang2
4374,122,Dual,SRC1,1,LangFirst,low,yes,no,QLang2
4375,122,Dual,SRC2,1,LangFirst,high,yes,no,QLang2
4376,122,Dual,SRC2,1,LangFirst,high,no,yes,QLang1
4377,122,Dual,SRC2,1,LangFirst,high,no,yes,QLang2
4378,122,Dual,SRC2,0,LangFirst,high,yes,no,QLang2
4379,122,Dual,SRC2,1,MusicFirst,high,yes,no,QLang1
4380,122,Dual,SRC2,1,MusicFirst,high,yes,no,QLang1
4381,122,Dual,SRC2,1,LangFirst,high,yes,no,QLang2
4382,122,Dual,SRC2,0,MusicFirst,high,yes,no,QLang2
4383,122,Dual,SRC2,0,MusicFirst,high,yes,no,QLang1
4384,122,Dual,SRC2,1,LangFirst,high,yes,no,QLang2
4385,122,Dual,SRC2,0,MusicFirst,high,no,yes,QLang2
4386,122,Dual,SRC2,0,MusicFirst,high,no,yes,QLang1
4387,122,Dual,SRC2,1,LangFirst,high,no,yes,QLang2
4388,122,Dual,SRC2,1,MusicFirst,high,no,yes,QLang1
4389,122,Dual,SRC2,0,LangFirst,high,no,yes,QLang2
4390,122,Dual,SRC2,0,MusicFirst,high,no,yes,QLang2
4391,122,Dual,SRC2,0,MusicFirst,high,yes,no,QLang1
4392,122,Dual,SRC2,1,LangFirst,high,yes,no,QLang1
4393,122,Lang,ORC,1,LangFirst,high,no,yes,QLang2
4394,122,Lang,ORC,1,LangFirst,high,no,yes,QLang2
4395,122,Lang,ORC,0,LangFirst,high,yes,no,QLang1
4396,122,Lang,ORC,1,LangFirst,high,no,no,QLang2
4397,122,Lang,ORC,1,LangFirst,high,yes,no,QLang2
4398,122,Lang,ORC,1,LangFirst,high,no,yes,QLang1
4399,122,Lang,ORC,1,LangFirst,high,no,yes,QLang2
4400,122,Lang,ORC,1,LangFirst,high,no,yes,QLang2
4401,122,Lang,ORC,1,LangFirst,high,yes,no,QLang2
4402,122,Lang,ORC,1,LangFirst,high,no,yes,QLang1
4404,122,Lang,ORC,1,LangFirst,high,yes,no,QLang2
4405,122,Lang,ORC,1,LangFirst,high,yes,no,QLang2
4406,122,Lang,ORC,1,LangFirst,high,yes,no,QLang2
4407,122,Lang,ORC,1,LangFirst,high,no,yes,QLang1
4408,122,Lang,ORC,1,LangFirst,high,yes,no,QLang1
4409,122,Lang,ORC,1,LangFirst,high,yes,no,QLang1
4410,122,Lang,ORC,1,LangFirst,high,no,yes,QLang1
4411,122,Lang,SE,1,LangFirst,low,yes,no,QLang2
4412,122,Lang,SE,1,LangFirst,low,yes,no,QLang2
4413,122,Lang,SE,1,LangFirst,low,yes,no,QLang1
4414,122,Lang,SE,1,LangFirst,low,yes,no,QLang1
4415,122,Lang,SE,1,LangFirst,low,no,yes,QLang1
4416,122,Lang,SE,1,LangFirst,low,no,yes,QLang1
4417,122,Lang,SE,0,LangFirst,low,no,yes,QLang1
4418,122,Lang,SE,1,LangFirst,low,no,yes,QLang2
4419,122,Lang,SE,1,LangFirst,low,yes,no,QLang2
4420,122,Lang,SE,1,LangFirst,low,no,yes,QLang1
4421,122,Lang,SE,1,LangFirst,low,yes,no,QLang1
4422,122,Lang,SE,1,LangFirst,low,no,yes,QLang2
4423,122,Lang,SE,1,LangFirst,low,yes,no,QLang1
4424,122,Lang,SE,1,LangFirst,low,yes,no,QLang1
4425,122,Lang,SE,1,LangFirst,low,no,yes,QLang1
4426,122,Lang,SE,1,LangFirst,low,yes,no,QLang2
4427,122,Lang,SE,1,LangFirst,low,no,yes,QLang2
4428,122,Lang,SE,1,LangFirst,low,no,yes,QLang1
4429,122,Lang,SRC1,1,LangFirst,low,yes,no,QLang1
4430,122,Lang,SRC1,1,LangFirst,low,yes,no,QLang1
4431,122,Lang,SRC1,1,LangFirst,low,yes,no,QLang1
4432,122,Lang,SRC1,1,LangFirst,low,no,yes,QLang1
4433,122,Lang,SRC1,1,LangFirst,low,no,yes,QLang1
4434,122,Lang,SRC1,1,LangFirst,low,yes,no,QLang2
4435,122,Lang,SRC1,1,LangFirst,low,no,yes,QLang2
4436,122,Lang,SRC1,1,LangFirst,low,yes,no,QLang2
4437,122,Lang,SRC1,1,LangFirst,low,yes,no,QLang2
4438,122,Lang,SRC1,1,LangFirst,low,no,yes,QLang2
4439,122,Lang,SRC1,1,LangFirst,low,no,yes,QLang1
4440,122,Lang,SRC1,1,LangFirst,low,no,yes,QLang1
4441,122,Lang,SRC1,1,LangFirst,low,no,yes,QLang1
4442,122,Lang,SRC1,1,LangFirst,low,no,yes,QLang2
4443,122,Lang,SRC1,1,LangFirst,low,no,yes,QLang1
4444,122,Lang,SRC1,1,LangFirst,low,no,yes,QLang2
4445,122,Lang,SRC1,1,LangFirst,low,no,yes,QLang2
4446,122,Lang,SRC1,1,LangFirst,low,no,yes,QLang2
4447,122,Lang,SRC2,1,LangFirst,high,yes,no,QLang2
4448,122,Lang,SRC2,1,LangFirst,high,yes,no,QLang1
4449,122,Lang,SRC2,1,LangFirst,high,yes,no,QLang2
4450,122,Lang,SRC2,1,LangFirst,high,no,yes,QLang2
4451,122,Lang,SRC2,1,LangFirst,high,yes,no,QLang1
4452,122,Lang,SRC2,1,LangFirst,high,yes,no,QLang1
4453,122,Lang,SRC2,1,LangFirst,high,yes,no,QLang2
4454,122,Lang,SRC2,1,LangFirst,high,no,yes,QLang2
4455,122,Lang,SRC2,1,LangFirst,high,no,yes,QLang1
4456,122,Lang,SRC2,1,LangFirst,high,yes,no,QLang2
4457,122,Lang,SRC2,1,LangFirst,high,yes,no,QLang2
4458,122,Lang,SRC2,1,LangFirst,high,no,yes,QLang1
4459,122,Lang,SRC2,1,LangFirst,high,yes,no,QLang2
4460,122,Lang,SRC2,1,LangFirst,high,no,yes,QLang1
4461,122,Lang,SRC2,0,LangFirst,high,no,yes,QLang2
4462,122,Lang,SRC2,1,LangFirst,high,no,yes,QLang2
4463,122,Lang,SRC2,1,LangFirst,high,no,yes,QLang1
4464,122,Lang,SRC2,1,LangFirst,high,no,yes,QLang1
4537,123,Dual,ORC,1,LangFirst,high,yes,no,QLang2
